Im using Xiaomi Buds 5 Pro and im planning on buying a Edifier W830NB
my headphones are wired and i def prefer the freedom to stand up and walk around when im still wearing my earbuds than having to take off my headphones and turning of my music or sumn.
 ive had bluetooth headphones before but i didnt like them because they left a headphone dent in my hair and it made my head really ichy because it compresses my hair down to my scalp and i look stupid. the anc on my earbuds are also super good they make  everything super quiet and i love the silence
Basically, overall headphones for raw audio quality in most cases
Earbuds for much greater flexibility and convenience
I have more ear wax formation tendency, which device is suggested?
I've owned a $1400 open-back headphone (HE1000 Stealth) and I own a $3000 earbud/IEM (Elysian Annihilator) and the headphone is far worse.

Headphones are severely lacking in bass quantity, and even when they do have a decently high quantity, the quality is very poor and muddy and uneven. Earbuds have proper bass boosts.

Even the treble and mids in the headphone were worse. The exact same thing would happen with the $8000 Susvara Unveiled.
I have just used earbuds and have been so impressed with them that i no longer want to listen to streamed music from my active speakers. My listening environment is not the best -rear wall is mirrored , so standing waves are an issue . With the earpods the room and its acoustics is taken out of the equation. The earbuds are rip off ibuds and only cost 399 Baht $10.
I can see further development of this technology , where ear buds will e accepted by audiophiles -well maybe
i think i ate one of my earbuds in my sleep
In my opinion, headphones are better than earbuds
One more thing is that you cannot lie down with headphones but with earbuds you can
I wear wireless headphones and wireless earbuds at the same time double the sound double the fun lol 😅
Personally, I use both. I don't have a specific time frame for each, it just depends on my mood
thank you for mentioning the hair dent thing!! I was wondering if I could possibly find ones that wouldn't do that but I guess it's more of a thing you just gotta accept. I tried on someone's headphones & they make my hair flat pretty easily / separates the strands. honestly hate that a lot. I already have bangs so it makes my head look more pressed down. also uncomfortable with open long hair + glasses. there's a lot of weight. just one of the things getting in the way to go for headphones but I'll see
I need info on headphone ear size and still have real sound quality.  Hard to know the right size.
2025?
Headphones has better sound experiance but my ears get hot & uncomfortable fast in my home weather unfortunately
headphones 🎧 for home 🏡earbuds for outside walking🏃
Headphones are far better than earphones because : 
1) The fat bass , especially JBL  headphones 
2)They do not allow any kind of infection in our ear 
3)They are comparatively , further away from our ear than earphones , which  reduces the risk of hearing loss 
  
Yes , in health concerns Headphones are better but the earphones have better ANC , still I think what will you do about ANC when you would have severe hearing loss , or even Tinnitus , I put Headphones ahead , no matter what because NUMBER 1 PRIORITY IS HEALTH.

I personally also do not get the point why people are even wearing any kind of earphone or headphone in public places , like WHAT'S THE RUSH ABOUT ?
Discovered this video in 2024
in my opinion i much prefer headphones especially if they hve a folding feature because im in school and they are not a problem, also the sound on headphones is better imo
I feel it necessary to have both headphones and earphones . Both have a different have their benefits. But if someone is who get first pair go and get a earbuds
then when you save some money go for minimun a 200 dollar + headphones for the best experience
I go with tws just for the hairstyle bruh. I really don't want my hairstyle ruined.
😩😩
I used the earplugs for everything social media listening to music you're talking on the phone
some recommendation for headphones
My earbuds have excellent sound quality and much better bass than my headphones but I do prefer using my headphones while at home to watch movies on
very helpful!!!😊
thanks❤
ear buds are fucking unhygienic, hate to see earwax
Earbuds just hurt my ear lol
Headphones at home, buds when im away from home for the convenience.
But, at home after 4 hrs headphones start to hurt my head while gaming.
I use Razor blacksharks while gaming which is supposed to be one of the most comfortable headphones out there, but still hurts after about 4 hours.
Maybe I just have a weird head..lol
Which one is good for online video lectures & surrounding noise cancelling effect...I used earbuds in the past and I don't have quite good experience with them when it comes to ambient chaotic noise.....I want a best option for study purpose...is headphones recommended?
i prefer the headset because i like the old school style and i like the higher quality sound
Assume you go for a $200+ earbuds... and one falls into a well !
Then you are "well done" 🤣 going for another pair of $200 🤣
I will always prefer heads over ears !
(not to mention the sound quality)
Ear buds gave me  infections. Tinnitus.
Best one to use in house are speakers .
I use earbuds in summer or in hot weather, also using it as sleep buds.
Which is better on a plane with jet engine noise?
i have both
Yes If I wearing a Headphones they can't call me buy in TWS earbuds they can call me and i can hear them.
I like how headphones look but I like earbuds better
Generally, a good pair of earbuds would be around 80 to 85% of the audio quality of headphones, so for that much better audio the convenience factor of the earbuds outshines.
Who is the win
I think earbuds have the advantage of not creaking. But they tend to have technical difficulties.
Greetings from México 🙂
I have a pair of buds 2 pro samsung , and purchased the senheisser accentum, sony whch720n and soundcore space one and i ended up returning them all because none of them seemed yo even come close in terms of quality of audiooutput. I was shook to my core but as it sounds i think thats the truth
I agree
I go for Headphones due to good sounding. buds are good for portability but the sound is 50/30
I own a pair of both and usually lean towards my earbuds since I work 5 days a week they’re more convenient in my pocket and can used one earbud at a time to listen to others
This is a very informative and helpful video. Thank you very much.
True I love headphones
I think it's a good thing to have both. I used earbuds for quite a long time and I do use them a lot, so I consider buying headphones just because they have greater battery life, better sound and don't collect that smelly liquid from my ear, which is pretty gross. If you don't have enough money for both then I think it's reasonable to consider to save a little on earbuds and take cheaper ones, as the main workflow is handled by headphones.
(I really don't like that people are not noticing me in earbuds, so I think headphones have an advantage in that aspect)
you are just talking to the one that knows it all I am soon 80 and understands nothing what you are saying🎧🎧🎧🎧🎧
For me I prefer Headphones overall and like to use my Bose QC Ultra headphones, for sound, comfort, and battery life, but with that being said when I’m on the go nothing beats the convince and ease of use of ear buds like my personal favorite of the earbuds the Air Pods Pro 2
I have to use earbuds nowadays because the headphones isolated my ears to much and I started 2 loose my hearing.
Headphone if you’re going to be stationary. Earbuds when you’re out and about. Walking outside, at the gym etc.
Earbuds because the sounds are good enough for me and it’s just way more convenient and cheaper
i like earphones more for compactness  invisibility and the fact that they can sound really good despite of such small size. headphones i never had premium ones always had cheap ones so have no force pulling towards them yet, i will try using premium ones somewhere and see if that can change my taste. For now its really joyful experience for me that in 100 dollars i can get really good sounding pair of earbuds that i enjoy listening on so much. i think even if i found better sounding headphones it will still be hard for me to forget the exciting experience i get on good pair of earbuds😅
Overear headphones sounds better then ear buds and on ear headphones
i like headphones for winter since im in Canada, they double for earmuffs and also can be connected to my computer or videogame purposes. Earbuds IMO are better for summer and anything with on the go or movement is needed.
Headphones are great for commuting earbuds/AirPods are good for when you’re around the house you still wanna be aware of it surroundings or you’re at work but for me, I lean towards headphones more because I’m a bass head I have both and it also depends on the situation
I just can't use a headphone for so long. Ears get warm and sweaty. Earbuds all day.
So I don't have hair.. lol
There should be a distinction between headphones that are wired and ones that are wireless.  Sound quality of Bluetooth is closing the gap on wireed headphones.  We're at the point where the sound quality of Bluetooth headphones vs earbuds is also closing the gap as well.  I feel like the convenience of earbuds are the way to go when all other variables have been leveled.  I personally hate being physically tethered to a device that creaats anxiety and tension.
Headphones sound a lot more full and bassy for sure but my Jabra elite 75t models still sound great. I switched to them to sneak music at my job. Long hair. Anyway I don’t work there anymore so I want to use headphones and have the buds to be discreet. Also perfect for gaming and good enough to use for the whole immersive game sound and shutting the speakers in the room off. My teen years were great. I don’t game anymore but it was a great experience.
Extra dongles are the absolute no-no for protability. Using it on a laptop you lose a usb port. Using them on phones, makes the phone less portable, you always have to be carefull with this thing hanging on the most critical socket of the phone,  the same socket used for charging. Once it is damaged, phone is doomed.
While gaming i use headphones and when im doing every day activies eg: walking to school i use earphones
I'd like it if there existed a set wireless earbuds that work for practicing guitar.
You could put the earphones around your neck
I like earbuds as they are portable and can fit in my small bag or my pockets plus doesn't press my earrings hahaha
Tho I also like headphones since its easy to put on and stay on place not worrying it'll pop out of my ears and since its visible people will not talk to me randomly lol, only downside is that it press on my earrings that sometimes it hurts and can't fit my bag haha
neither fit my ears properly and the sound is always imbalanced
ive bought way too many expensive headphones and earbuds just for them to not fit properly 😡
I've lost another earbud and honestly I'm kind of tired of this anxiety of charging/finding/storing earbuds. I might go all headphones from now on except exercise.
I like headphones better you can js put them around your neck they sound better, better battery, it doesn’t hurt to wear them.
If you ues head pones nice dent
I want the premium sound experience of headphones but I just don't see myself using them much if I have to bring them with me in a case
Headphones because
Earbuds feel too close to the eardrum 
Headphones won’t get lost easily 
And if headphones feel more comfortable
Which are better for longevity?
i pick headphone
earbuds are easier to get lost too, specialy for retards like me
I’ve always preferred headphones, earbuds never feel like they are actually snug good in my ear
thanks for this brilliant video .. 👏👏
To be honest, I found that decent earbuds sound better than my very expensive headphones
3:45 I noticed that too, playing driving games when I press the gas pedal I notice a lag on the gas pedal and the engine noise
For me I used my headphone indoor and earbud outdoor I luv them both.
I can’t decide which to buy as I start collge, ahhhhh!!!!
I’d they made head phones that don’t mess up my hair I think it would change the game completely
Im using for earbuds for many years.. Planning to switch to headphones. My ear is itchy when using earbuds esp if I'm allergic to it's component.
You should try IEMs though.
Given that both have hi-res audio, is there a significant difference between wireless headphones and earbuds?
as a  person who hates when ppl is talking to me i choose headphones more its more better. Plus sometimes u need to block out those annoying ppl if u get what i mean. If ur an introvert or someone who hates when ppl talk to or interact . Then its different
Earbuds are easier to carry with yourself ,easier to charge simple by putting in the case.
Other then that i would prefer headphones even tho i didn't find anything budget yet ,so i simple use earbuds most of the time because even tho i have kingston cloud x 7.1 headphone its still wired thing with huge cable and is made for pc/ps4 input
Sony xm5 or Oneplus buds pro?
In terms of bass
would you say headphones or earbuds have better ANC generally
Nd a decent headphone set for my prduction setup. I'm a newb rarely used headphones or eatbuds. Wouldn't walk around or drive wearing either, I think they are dangerous &  hinder public health, social interaction community communication skills & public safety   Wearing one in public is better if you have to listen to podcasts, music, or books on the go but never while driving or walking.
Headphones are better they got more bass and look cooler on you
Headphones with anc for safer listening experience!
Have been using earbuds for long time since they arrived. But definitely I miss the quality of sound of proper headphones. 
But since working mostly from home these days need a headphone. Don’t need portability for that. When I’m going out can take my earbuds with me. 
I’m using a noble earbuds. Sound is crispy for its price range. But definitely miss the bass while trying to enjoy music at home. 
I’m confused though. Should I go for the best all rounder Sony XM 5 or the unique Skullcandy crusher anc?
Or just should go for a wired headphone for lossless. Either way I’m going to use them at home in the same budget. 
Any suggestions? Budget is 3-5 hundreds usd.
Nowday has lots of comfy wearing earbud and best sound quality too .. i more prefer earbud, easy to carry where you go and whenever you want enjoy listening music or watching movies . Headphones good amazing too. But ,, yeah its big , you need more space you bag to carry the headphones
Headphones are obviously better. Earbuds only account for portability. If you love music get headphones
Headphones just because you don’t lose them as easily and better battery life and stronger
I like headphone more because i don't need to put the inside the ear
Going with the buds because easy to handle
Talking about sound quality, face to face between tws and bluetooth headphones what is your opinion? Because I understand if we compared headphones with cable and more if we use a dac, but what about bluetooth headphones...
For me walking or biking with earbuds is annoying due to the rumble from bone conduction. I use them when I will be sitting. The old Apple buds didn't have this effect because they don't actually plug ur ear. For mixing music I enjoy open back headphones and for walking and biking I like using wireless headphones which won't produce that irritating rumble in the lower frequencies.
I can't stand earphones or earbuds. Headphones all the way.
I really appreciate this vid big thumbs up from South Africa Cape Town🙌! but like you said it comes down to buyer's use and o/c the brand. I'd like if you can make a vid on portable speakers Especially the JBL, Samsung's, Rocka, Volkano and Xiaomi Mi. Hope this ain't a challenge😂 I'd appreciate it🙏
I'm more worried about lifespan. Cause so far they all break down after just a few months of use.
I can’t use earbuds because they never stay in my ears.
I missed the health aspect. That in ears affects your hearing more negatively than over ear. The fact that in-ears increases the amounts of bacteria in your ears.
Question:-
I am planning to spend about 300 usd on my audio device-devices. I am a Uni student so during weekdays i need something to listen music to during commute, Tv Series at home and I play Valorant on the weekends at home, i want advice on what i should buy, (headphones, earbuds or both?) and the best options in the category. 
i was initially considering buying epos h6pro's for home use and Soundpeats earbuds for outside use, or Bose Quietcomfort 1 for outside and home media use, Hyperx cloud 2 or something similar priced for gaming.
Would really appreciate suggestions.
5:43
 THE BEST VIDEO
  THANK YOU
Surely the headphones have a much better sound by miles.... the sizes of them compared surely can hold much bigger and better speakers in them.
Headphones are better earphones are 💩
I like your Ford Shirt.  👍
I think some earbuds replicate the sound of headphones very well. When I was listening to wf-1000xm4 I could hear the same sound profile as the wh- 1000xm4. Unfortunately, I had to stop listening to earbuds due to repeating ears infections. It started with galaxy buds pro.
I’m trying to get good noise canceling headphones or earbuds earbuds would work better for me life style wise but  headphones seem to be better at canceling unwanted noise
Headphones 🎧 

I find you may lose earbuds (more likely too) 

Headphones sounds better
ear buds for sure
Just buy both. Duhh
I've arrived at work with headband hair many times, nobody has said anything yet lol. I'm still rocking my Sony WH 1000MX3 which is still going strong three years after purchase
Earbuds: break within a month 
Headphones: break within a 10 year span.

I've yet to have a pair that lasts a month of earbuds. I
Which do you prefer for travel?
If you want to drive your car and make phone calls or listen to music, a headphone will get you a ticket because you're only allowed to have a device in one ear. earbuds are better for this situation. However, if you lose things easily, you're going to spend a lot of money replacing earbuds because you will lose them.
Neckbands are under rated. I don't see many youtubers reviewing them.
If you hear the beoplay EX they sound better then regular headphones. Small buds with the price of a headphone. Did you try these?
I prefer headphones for pure audio enjoyment. I use earbuds in the summer when  walking since you eliminate the sweat factor. I switch to headphones in the winter for warmth and they act as ear muffs to keep your ears warm in the cold.
Nicely done! Some good reasoning.. 😊
What do you recommend for long hours of working from home?
Depends on what you need them for.  Like cars, compact cars are good in the city where parking space is limit but not good when you need to carry people or stuffs while SUVs are good for those but sometime can be too big and consume too much gas. Headphone/earbud discussion is the same way. There's no clear line that said which is better. Earbuds are good for flexibility but the sound quality can't match headphones while headphones are just too big to carry around all the time.
I use both and have a pretty good collection. I prefer the sound of headphones at home but carry earbuds on the go.
Which Better ? difficult question, because i have both of them 😁 Soundcore Life Q35 and Space A40
Hi, does anybody knows how could I find that USB c dongle for that lag issue?
Headphones are just not for me
So what you prefer soundcore liberty 3 pro or soundcore q45 for music
Earbuds/Headphones with a dongle  or wired is the way to go for gaming .  Never waste your money on bluetooth ones whatever the brand is for gaming , they all lag .
Before watching, it pretty much depends on you, your situation, your environment, and so many other conditions that can never quite be the same across the board for more than one person.
I do have both, but I do find myself reaching for earbuds more. I've had problems with feeling "compressed" with headphones and have found a pair which don't clamp quite so much (Sennheiser Momentum 3), but I still find myself needing to take breaks way more than I do with earbuds. It's odd, because I prefer closed earbuds.
I think it just comes down to personal preference. I think that most audiophiles will probably choose headphones, but that’s a very small group of people compared to everyone else that uses headphones or earphones. Most people aren’t audiophiles and don’t need that level of audio quality, so they will go with what works for them
I like them both earbuds and earphones I just love Great Sound of Music
I have a small head and so many headphones bands don’t fit my head and slide off
🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥
Headphones 🎧  for home or work and earphones for exercises and walking on the streets 🤔.
Me personally I like wireless earbuds mainly because of portability
Just get a Bluetooth earbuds adapter for iems, and voila! Best of both worlds.
Comparing apples to oranges, why not a decent top 10 video for both, that's what I'm really here for.
I have a pair of earbuds and a pair of headphones and I keep the headphones because I like the immersive sound that they give me that a Bluetooth earpiece just cannot match. Also, I don't like having earbuds stuck in my ears all day. The headphones are a nice change of pace. Also, I like the fact that they are deterrent from people talking to me. I just don't want to be bothered. For some reason when you're wearing earbuds people still think they can talk to you even when you have both on. There's a place for both and I enjoy both.
Great Video, good sir! Still loving your content!

I have a handful of audio gear, but I'll just state my current favorites and how I use and power them;

> Sennheier HD58X for Desk/Home/Work use - iFi Zen DAC V2
> Moondrop Elven Maiden(Aria) for outside use or if people are sleeping at Home - FiiO BT3K DAC/AMP

All around Music, Gaming and Work related, can consider ENDGAME budget gear.
Great video for discussion Keith, I personal like earbuds for the portability and the size, but when it comes to what really sounds better, undoubtedly Headphone's rule! You know I'm a Basshead and earbuds are not even close to the larger drivers on headphones, but my ears sweat with headphone's ugg.😂
For me there's 2 reasons why I prefer to use ear buds and 2 reasons why I prefer to use headphones. The ear buds are just way more portable in that I can carry them in my Coin pocket in contrast to headphones which I carry in my back back. The ear buds are also way more comfortable than headphones. My ears don't get hot and my head doesn't feel any clamp force like I get from a headphone. Now that being said, I prefer my headphones because of the the sound quality I can get from a high end audiophile headphone and earbuds do NOT come close in this category. And finally when it comes to ANC, earbuds IMO are pretty much a joke compared to the ANC on my best set of headphones. My Sony's really protect me from noise pollution in the world where as with my best ear buds I find myself wondering, "Is the ANC even on?". 😠😜
Earbuds are a tool to fit a situation but it will never replace my full size headphones in comfort or sound quality
Generally, I use headphones when I want to watch a movie or show on a tablet, say, and not disturb anyone around me (the screaming and chainsaw revving tends to annoy my wife). But for the gym and travel I use a mixture of IEMs and earbuds, depending on what I’m doing.
As a student anc is extremely important  and I feel that anc on earbuds just isn't strong enough so i am going to stick with headphones
I go back and forth depending on my mood/activity: Headphones for more immersive sound when I’m not moving around much, earbuds for when I’m more mobile, working out etc. But I tend to reach for my earbuds more simply cuz they’re smaller and usually on me or nearby. They’re less of a pain in the ass too lol
What is the best "sounding earbuds" with "anc" under 100(if you could only but one)
I used to be a big costumer of earbuds, basically for portability but since I am now working from home mostly, I started to use headphones and I must say that to me there is no going back, it is confortable, the sound quality is great and also the quality of the mics are superior for conference calls. Having say that, when I go out I like to bring with me a pair of earbuds for phone calls and also if I have to wait for some reason a good podcast or audiobook is great. Which reminds me that you are the culprit of all my purchase decisions for headphones and earbuds, so yeah, thanks I guess, although don't tell my wallet. Just kidding man thanks for your job. 👍
Headphones for home use and earbuds on the bus and on trips for me.
Recently acquired the Soundcore Q45 to add to Senn TW3 buds. Really surprised at audio on the Q45 - bit better than the Senns and clear winner over Soundcore LP3 buds which can be harsh. However I can't wear headphones for more than 2h max so still default to buds. Buds for travelling for sure
I have 3 pairs, for daily use i have a neckband sony's WI 1000XM2 for the gym i have a true wireless galaxy buds 2 and for home i have over the ears Sennheiser momentum 3
They all have their place it just depends on what I am listening to regarding both device and subject matter, my listening environment and whether I am relaxing or doing an activity.
Ear buds are very convenient for travel etc, bluetooth headphones are great for casual listening or when noise cancelling is a premium. BUT wired headphones, especially open backed ones, trump anything else, even iem's can't reach their sound quality.
I go with earbuds every time because with the headphones my ears are sweating every time and is a discomfort for me wearing them, on the other side i like the earbuds because are small and it fits perfect into my ears. But yeah everyone has their own tastes. Bless ✌🏽
The Sony link buds are one of my favorite earbuds and I have almost every earbud made. Different strokes. I use them almost as much as my AirPod Pro 2. Speak to chat is good for my marriage
Got both Sennheiser MTW 3 and Sony WH-XM5 headset..., each has plus and minus :) loving them both
I think earbuds are perfect. Headphones is no go fo me, ears are sweating, and most important people look stupid with the earphones on, when they are outside. It's like walking with a home telephone instead of a smartphone, or taking a PlayStation and tv instead of Nintendo switch, when you go to the park.
Hello, good video. Honestly I don’t think there is one right answer, like you said, it depends on what you need. Personally, I own both types and I use both.
4:36 yess, universal sign for "don't talk to me". 👌
I prefer earbuds in daily use plus they are cheaper but when i want to really listen to music i would use headphones
I find with all ear buds none stay steady in my ears when on the move...perfect for when your sitting down but outside that problems and that's why I use proper headphones...and another reason why I like proper headphones you can push them much harder...keep up the good work my man.
I use to be a headphone guy but the earbuds are more convenient for me
I really like this discussion video!! It's very much need for those wondering. Ear buds have convivence, but headphones have better sound.

I was wondering, I am trying to invest in a audio set up for a focal headphone plugged into a DAC and AMP. Do you have any recommendations for DAC/AMP/Both or do you have videos that I can look up on what you have reviewed in the past?
I own like 10 pairs of earbuds..  1 pair of headphones. I've made my choice.
I’ve got a few pairs of cans and buds and I’m not sure that I like one over the other, it’s just kind of a feel of the day thing. 
Sometimes I’m worried about my hair like you mentioned or it’s a hot day so I go with buds and sometimes my ears feel a bit itchy from bud-tips so I throw on the cans.
The bigger decision for me is actually wired vs wireless lol
Cable free setups are straight up divine but the difference in sound quality is too hard for me to ignore most days.
For me its headphones when at the pc at home. Good 1 for gaming and old school marshall monitors for music through pc phone or receiver. Also with walking outdoors or public transport. At work soundcores. Stil need to hear the surrounding. But prefer headphones. More details. Stronger driffers and more immersive feeling
It's use case, in my opinion. IEMs/earbuds for portability/on the go while headphones mostly for home use.
I use earbuds because headphones mess my asian hair when I wear them.
Easy. Earbuds for convenience. Headphones for sound. Open back wires headphones for best sound. There are some earbuds that beat some headphones but in general, you're paying for convenience, convenience and sound, or just sound.
💥💥 This is how I use both. I have 5 different over the ear headphones I have 10 different sets of earbuds.

 What I normally do is in a summertime I use my headphones. Then if I'm at work and I can't wear big headphones on my head, so I pop my earbuds in my ear one of them at least because I only get earbuds that have mono mode.

I normally use my headphones during the summer time because in the summer time I wear snapped back hats. In the Winter time I don't really use my headphones because I'm wearing beanie hats and the hat is in the way of the headphones so in the Winter I use earbuds under my beanie hats

I mainly use my headphones during the summer and fall season.
Headphones for home and earbuds for active lifestyle.
Personally, I like to use something for pretty much all situations. I think earbuds do the trick for that. (Also, I'd be terrified that my headphones would be damaged by water if I took them outside.)
I use earbuds, IEMs and headphones based on where I'm listening. At home it's always something cabled. Outside home, it's usually Bluetooth.
For home headphones for deep rich sound out and about or traveling wireless earbuds or my wired shure earbuds.
I enjoy both BUT, earbuds ARE a bit more convenient. For all the reasons you mentioned. 

Thats why i go for earbuds with long battery life and decent phone call quality and solid fit in ear. 

But yeah you cant beat 40mm over ear drivers.
As my AirPods Pros 1st Gen failed on me last week after 15 months I bought some new. AirPods Pro 2s 2nd Gen the other day for $240, and also some Bose QuietComfort 45 SEs at Costco too for $220. Deciding which ones to keep. I also have some Skullcandy Grind Wireless headphones I've been using for years and they're not too bad. :)
Portability and convenience - Earbuds
Sound and isolation - Headphones
Thanks…I like both but primarily use earbuds for size. Blessings on your day 👍🏻
The nice thing about this question is that every answer is the right answer; it's what works best for you. In terms of sound preference, unless you are being pedantic about sound at every single Hz you pretty much can find your own preference in both earbuds and headphones. Personally, I prefer headphones when stationary (ie. desk, commute, etc.) but they can heat up your ears and where I live it gets uncomfortable; which is when I prefer earbuds or in-ears. However, I prefer in-ears when moving around. The only thing is that after a period of frequent use my body reacts to them, my ear canal gets inflamed and traps in ear wax; this is when I mainly use headphones to rest my ear canals. 

In conclusion, both form factors are ideal and provide the sound profile you prefer, also in wired or wireless. The better question that Gamesky always talks about is which form factor and which presentation (wired or wireless) suites you better. I find that having a few to suit different scenarios is the best option.
I will watch the video in a moment, but all I can say right now is I have on my back pack the L3P, Buds2 Pro, Buds Live and JBL Tour Pro, and at home I have Momentum 4, WH-XB900N, JBL UA Sport and Crusher ANC, I use and love them all for different situations, but if I have to pick one they would be the JBL Tour Pro and the L3P for earbuds.
I use headphones at home and outdoor i use IEM even at office i use IEM or tws
No headphones for me period... always been earbuds from wired to wireless..
Great watch as per. 

Personally I use both all the time. I think it'll always be situational like a lotta comments noted and as you explained very well in the video. 

When I'm commuting to work I rock headphones, warms up my ears in the cold and completely blocks out all sound and I can go into that don't talk to me mode 😂 so that unless you desperately need my attention on the bus you'll think twice before tapping me to remove the headphones for a quick convo. 

Then for when I'm just at home or hitting the gym I go with earbuds coz I can have one in my ear and still be talking to someone at home or something. Likewise for when I'm gaming I got the Corsair with the dongle.

I think that's the awesome part about the earphones market is that we are pretty much spoilt for choice and options for damn near every preference, every style, every design etc, win win all around for the companies and the consumers. 

Keep up the great coverage as always 🙌🏿🔥👑
considering how flexible is iem and tws nowadays, i say for most situation it's better for portability and reasonable high fidelity (iem obviously)

headphone is mostly when you're fixed at your position like in front desktop, on bed, on transportation
Earbuds will never be better than headphones because of the size difference.
I mean as long as we are talking about a good (one's personal preference) pair of either earbuds or headphones ... I dont think there is a "better" ... I use both and even with say earbuds there are the typical types or the (i forgot what the term is but i have one pair of SoundPeats that are earbuds but not in ear .. .the TrueAir 2's now that i looked it up) ... sometimes i just dont like something plugging up my ear, even if the pair is comfortable and its the correct sized tips.... sometimes at night when i have one side of my head on a pillow (that side with no earbud in) ... a pair of headphones is not an option.

This is like saying "I like Cream or Orange soda better" ... I like both and i cant really say one is what i like over the other.
